,gm_db,lf_gain,pm_deg,ug,v(lpo),v(xdut.vd1),i(v1),i(vdd),i(vss),vdiff,name,type,time,OK
0,-17.61911,37.75513,73.60328,9.055142,0.7925463,0.8027914,0.9886358,9.557250000000002,8.819201,-1.64025,lstb_SchGtKffTlVh,Sch,Fri Aug 15 12:38:13 2025,True
1,-14.93878,33.73418,46.71616,47.475319999999996,1.020365,0.4985907,1.852136,32.9462,31.361320000000003,-5.04525,lstb_SchGtKffThVh,Sch,Fri Aug 15 12:38:12 2025,True
