,gm_db,lf_gain,pm_deg,ug,v(lpo),v(xdut.vd1),i(v1),i(vdd),i(vss),vdiff,name,type,time,OK
0,-29.54564,31.64379,85.83545,0.04492362999999999,0.5316631,0.8051595,0.8927174,-3.0017910000000003,-4.2094,-6.7392900000000004,lstb_SchGtKssTlVl,Sch,Fri Aug 15 12:38:10 2025,False
1,-17.26017,35.34355,58.75493,22.47484,0.7649988,0.5004737,1.195797,6.91967,5.400047,-1.32528,lstb_SchGtKssThVl,Sch,Fri Aug 15 12:38:09 2025,True
